=== 나레 '첫번째 여자는' 등장 ===
      초     폭    높이    중심x    중심y     잉크
 15.350   398    71    540   1204   1455
 15.383   425    76    540   1204   1840
 15.417   434    80    540   1204   1989
 15.450   434    78    540   1204   1982
 15.483   434    80    540   1204   1988
 15.517   434    80    540   1204   1982
 15.550   434    80    540   1204   1987
 15.583   434    80    540   1204   1987
 15.617   434    80    540   1204   1989
 15.650   434    80    540   1204   1989
 15.683   434    80    540   1204   1989
 15.717   434    80    540   1204   1991
 15.750   434    80    540   1204   1989
 15.784   434    80    540   1204   1987
 15.817   434    78    540   1204   1990
 15.850   434    78    540   1204   1988
 15.884   434    78    540   1204   1989
 15.917   434    80    540   1204   1990
 15.950      -     -      -      -      -
 15.984      -     -      -      -      -
 16.017   482    69    539   1205    464
 16.050   544    85    540   1203   2026

=== 나레 '나진을 버티지 못하고' 등장 ===
      초     폭    높이    중심x    중심y     잉크
 16.250   594   105    540   1209   2446
 16.283   594   105    540   1209   2445
 16.317   594    92    540   1203   2461
 16.350   594   105    540   1209   2511
 16.383   594   101    540   1207   2511
 16.417   594    92    540   1203   2501
 16.450   594    92    540   1203   2502
 16.483   594    92    540   1203   2500
 16.517   594    92    540   1203   2504
 16.550   594    92    540   1203   2484
 16.583   594    92    540   1203   2481
 16.617   594    92    540   1203   2492
 16.650   594    92    540   1203   2485
 16.684   594   105    540   1209   2489
 16.717   594    92    540   1203   2485
 16.750   594    92    540   1203   2479
 16.784      -     -      -      -      -
 16.817      -     -      -      -      -
 16.850   267    69    540   1204   1177
 16.884   302    80    540   1204   1379
 16.917   320    84    540   1204   1541
 16.950   327    87    540   1204   1626

=== 대사 '혈청은?' 등장 ===
      초     폭    높이    중심x    중심y     잉크
 13.550      -     -      -      -      -
 13.583      -     -      -      -      -
 13.617      -     -      -      -      -
 13.650      -     -      -      -      -
 13.683   492   180    398   1161   1680
 13.717   480   176    404   1163   1686
 13.750   500   174    395   1164   1716
 13.783   613   169    448   1166   1686
 13.817   327   165    481   1168   1686
 13.850   210   162    540   1170   1682
 13.883   210   158    540   1172   1684
 13.917   210   155    540   1173   1683
 13.950   498    92    396   1204   1692
 13.984   210    92    540   1204   1669
 14.017   524   142    382   1180   1679
 14.050   658   139    445   1181   1680
 14.084   341   135    605   1183   1687
 14.117   210   132    540   1185   1672
 14.150   210    92    540   1204   1671
 14.184   345    92    607   1204   1670
 14.217   542   119    373   1191   1678
 14.251   210    92    540   1204   1676

=== 대사 '2번 방은 어떤가?' 등장 ===
      초     폭    높이    중심x    중심y     잉크
 20.800   501    82    540   1203   2732
 20.833   501    82    540   1203   2745
 20.867   501    82    540   1203   2738
 20.900   501    82    540   1203   2750
 20.933   501   283    540   1303   2753
 20.967   501    82    540   1203   2754
 21.000   501    82    540   1203   2756
 21.033   501    82    540   1203   2756
 21.067   501    82    540   1203   2764
 21.100   501    82    540   1203   2755
 21.133   501    82    540   1203   2762
 21.167   501    82    540   1203   2760
 21.200   501    82    540   1203   2758
 21.234   501    82    540   1203   2746
 21.267   501    82    540   1203   2734
 21.300   501    82    540   1203   2734
 21.334   501    82    540   1203   2723
 21.367   501    82    540   1203   2727
 21.400   661    92    540   1203   3465
 21.434   661    92    540   1203   3464
 21.467   661    92    540   1203   3463
 21.500   661    92    540   1203   3463
