=== 나레 '두번째 여자가' 등장 (배경 어두움) ===
      초     최대밝기     폭    높이     따뜻한화소
 24.417      152   208    37       232
 24.450      229   352    59      1926
 24.483      255   398    68      2578
 24.517      255   423    71      2949
 24.550      255   434    75      3067
 24.583      255   434    75      3067
 24.617      255   434    75      3067
 24.650      255   434    75      3067
 24.683      255   434    75      3066
 24.717      255   434    75      3072
 24.750      255   434    75      3071
 24.784      255   434    75      3071
 24.817      255   434    75      3071
 24.850      255   434    75      3071
 24.884      255   434    75      3071
 24.917      255   434    75      3071

=== 나레 '혈청까지 투여하며' 등장 (배경 어두움) ===
      초     최대밝기     폭    높이     따뜻한화소
 26.217      148   379    11        94
 26.250      247   448    75      3060
 26.283      255   505    85      4131
 26.317      255   539    92      4663
 26.350      255   549    96      4928
 26.383      255   549    96      4863
 26.417      255   549    96     29634
 26.450      255   549    96     32324
 26.483      255   549    96     33415
 26.517      255   549    96     34491
 26.550      255   549    96     34496
 26.584      255   549    96     33473
 26.617      255   549    96     33185
 26.650      255   549    96     32890
 26.684      255   549    96     31682
 26.717      255   628   185     30707

=== 나레 '괴물로 변한 것이었는데' 등장 (배경 어두움) ===
      초     최대밝기     폭    높이     따뜻한화소
 27.117      222   553    75     27669
 27.150      255   622    85     27519
 27.183      255   661    89     26183
 27.217      255   676    92     26433
 27.250      255   676    92     25731
 27.283      255   676    92     25579
 27.317      255   676    92     24326
 27.350      255   676    92     24326
 27.383      255   676    92     23881
 27.417      255   676    92     22298
 27.450      255   676    92     20914
 27.484      255   676    92     20025
 27.517      255   676    92     18756
 27.550      255   676    92     17335
 27.584      255   676    92     16519
 27.617      255   676    92     16986
