id              1행프레임   글자높이    아래끝   중심x    폭중앙   폭95%   |   2행프레임    행높이     위    아래
0RoAoNgCe4U       637     84   1248   542    734   1076   |     159     82  1049  1294
4FvEiWHpZxk       614     82   1255   540    660   1051   |     175    107   562  1259
CtpJmuxKLlw       300     85   1232   540    798    905   |     234     84  1100  1276
G4nGa8zfW28       772     80   1243   540    622    740   |      65     73  1120  1296
JfIpkCgQQrg       221     91   1132   556    976   1079   |      31     82   830  1221
MnNbNKRolKY        99     75   1264   540    516    688   |     103     85  1140  1316
Ob5wDXr7WpE       396     96   1262   542    788    971   |     294     80  1122  1298
QHQQUUvabTI       384     91   1244   540    631   1033   |      46     76  1115  1296
u1kt0pSk5_s       514     84   1244   537    728   1050   |      77     69   578  1244
WbUliW8Or7E       180     87   1222   539   1044   1081   |     174     76  1141  1321
