dl/WbUliW8Or7E.mp4  608x1080 29.97fps 38.67초   그림 y 432~1445

=== 흰 자막 10덩이 ===
    시작      끝    길이  행    중앙y   글자h   중심x     폭     y변화      폭변화  잉크변화
  0.00   0.53  0.53  1    468    62   530  1060     475      103   9902~13868
  1.53   2.37  0.83  3    963    66   551  1052      97       20   3120~3638
  3.40   6.47  3.07  2   1232    76   537   898     296      279   2835~7541
  6.61   7.11  0.50  3   1024    87   541  1077     335        5   3231~3765
  7.27   7.61  0.33  1    838    62   524  1042     386       53   3617~3963
  8.44   9.64  1.20  1   1228    75   524   588     287      606   2067~3140
 10.68  13.75  3.07  2   1227    82   541   656      12      493   3974~4821
 20.59  21.32  0.73  1    484   101   540  1081       0       14   16939~18323
 24.79  25.53  0.73  1   1231    82   507   885       0      157   2303~2363
 35.57  36.30  0.73  1   1173    91   541  1074      69       11   1955~2159

=== 분홍 효과자막 0덩이 ===
    시작      끝    길이  행    중앙y   글자h   중심x     폭     y변화      폭변화  잉크변화
