id               테두리px    표본  태그
0RoAoNgCe4U       15.1   201  #경성크리처 #넷플릭스 #드라마리뷰 #명장면
4FvEiWHpZxk       10.7   201  #경성크리처 #넷플릭스 #드라마리뷰 #명장면
CtpJmuxKLlw       23.1   201  #경성크리처 #넷플릭스 #드라마리뷰 #한국드라마
G4nGa8zfW28       13.3   201  #경성크리처 #넷플릭스 #드라마리뷰 #명장면
JfIpkCgQQrg       12.4   173  #경성크리처 #넷플릭스드라마 #명장면 #드라마리뷰 #쇼츠
MnNbNKRolKY       13.3   201  #경성크리처 #넷플릭스드라마 #드라마리뷰 #한국드라마 #쇼츠
Ob5wDXr7WpE       14.2   201  #경성크리처 #넷플릭스 #드라마리뷰 #한국드라마 #쇼츠
QHQQUUvabTI       12.4   201  #경성크리처 #넷플릭스 #드라마명장면 #가토중좌 #쇼츠
WbUliW8Or7E        4.4   201  #경성크리처 #넷플릭스 #731부대 #드라마리뷰 #쇼츠
u1kt0pSk5_s       12.4   201  #경성크리처 #넷플릭스 #드라마리뷰 #한국드라마 #명장면
